hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime
7,NITRO EXPRESS (T353),D E Ferraris,N Callan,49,-2,1201,1.39.50
12,FLYING TIGER HERO (C119),D J Whyte,R Bayliss,47,-2,1049,
8,WINNING CONTROLLER (A075),C H Yip,M F Poon,47,-1,1095,1.40.75
4,FLAME LILY (B050),F C Lor,J Moreira,46,-2,1202,1.40.29
1,SPEEDY WALLY (T002),C Fownes,A Domeyer,46,2,1130,1.40.08
11,STRATHBARRA (C055),A T Millard,L Hewitson,44,-5,1180,
6,DIONYSUS COLLIN (B436),K W Lui,C Y Ho,42,0,1044,
2,SOLAR BILLION (C171),K L Man,T H So,41,-2,1111,
,,,,,,,
hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime
12,RIGHT HONOURABLE (A164),R Gibson,N Callan,60,-2,1018,1.39.79
6,HAPPY ROCKY (S147),C W Chang,K H Chan,58,-1,1109,1.40.28
7,MAGNETISM (V114),D E Ferraris,U Rispoli,58,-4,1154,1.39.46
2,CIRCUIT NUMBER ONE (B373),A S Cruz,K Teetan,55,-2,1069,1.40.59
3,NABOO STAR (B366),C Fownes,J Moreira,55,0,1015,1.39.66
9,CHARITY WINGS (B003),C S Shum,Z Purton,53,-2,1103,1.39.64
4,C P POWER (V037),A T Millard,A Domeyer,51,1,1064,1.40.20
10,ENJOY LIFE (A125),Y S Tsui,K C Leung,50,-2,1101,1.40.24
5,SHINING ON (A359),K W Lui,C Y Ho,47,1,1010,1.40.32
1,FLASH FAMOUS (B162),F C Lor,C Schofield,45,-4,1119,1.41.35
8,GODSPEED (A087),D J Hall,L Hewitson,43,0,1150,1.40.36
11,HAPPY HOUR (B286),C H Yip,M F Poon,41,-1,1062,1.42.45
,,,,,,,
hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime
2,BANDY (C282),R Gibson,N Callan,40,-5,1013,1.12.04
9,LA BOMBA (B143),D J Whyte,R Bayliss,40,-4,1075,
1,GOUTEN OF GARO (A291),D E Ferraris,J Moreira,38,0,1108,1.10.05
10,MY DEAR (B445),A S Cruz,K Teetan,36,-2,1020,1.10.28
12,RED BRICK FIGHTER (C304),C S Shum,M F Poon,36,-2,1042,
7,STARLOT (V367),P O'Sullivan,Z Purton,34,0,1140,1.10.00
5,FOX CHEUNGER (B187),K W Lui,H W Lai,33,-4,1031,1.10.92
3,OPEN HOUSE (A197),D J Hall,K C Leung,32,-3,1025,1.10.34
8,FIRE AND GOLD (B004),C H Yip,B Shinn,30,-2,1064,1.10.75
6,KEEP GOING (B231),Y S Tsui,H T Mo,23,-4,1043,1.10.41
11,LEISURED FEET (A277),W Y So,C Y Ho,23,0,1179,1.10.20
4,NASHASHUK (V143),J Size,M Chadwick,19,-3,1096,1.10.18
