,hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime,RowSum,first,place,winstake,plastake
0,0.0,YOO YOO KING (C399),0.1,0.15,0.08,0.0,0.08,0.0,0.05525606469002696,0,0,0,0
1,0.19,REALISM (C286),0.1,0.0,0.08,0.08,0.08,0.0,0.07142857142857144,0,0,0,0
2,0.19,BLITZING (B290),0.1,0.15,0.08,0.08,0.08,0.32,0.1347708894878706,1,1,10,10
3,0.19,FIRST RESPONDER (C205),0.1,0.15,0.08,0.08,0.08,0.32,0.1347708894878706,1,1,10,10
4,0.19,MONEY BACK (C392),0.1,0.15,0.08,0.08,0.08,0.0,0.09164420485175201,0,0,0,0
5,0.19,SHANGHAI MASTER (A337),0.1,0.15,0.08,0.0,0.08,0.32,0.12398921832884097,0,1,0,10
6,0.0,BALLISTIC KING (C231),0.1,0.0,0.0,0.08,0.08,0.0,0.03504043126684636,0,0,0,0
7,0.19,GRATWICK (B110),0.1,0.15,0.0,0.08,0.0,0.0,0.07008086253369272,0,0,0,0
8,0.19,MEGA RED (V078),0.1,0.15,0.0,0.0,0.08,0.0,0.07008086253369272,0,0,0,0
9,0.0,NORDIC WARRIOR (B371),0.1,0.15,0.0,0.08,0.08,0.0,0.05525606469002696,0,0,0,0
10,0.0,FARSHAD (B238),0.1,0.15,0.0,0.0,0.08,0.0,0.04447439353099731,0,0,0,0
11,0.19,MR PICASSO (T330),0.1,0.15,0.0,0.0,0.08,0.32,0.11320754716981134,0,0,0,0
