,hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime,RowSum,first,place,winstake,plastake
0,0.19,NAVAS (V362),0.1,0.15,0.08,0.0,0.08,0.32,0.12551159618008184,0,1,0,10
1,0.19,PRECIOUS SWEETIE (B254),0.1,0.15,0.08,0.08,0.08,0.32,0.1364256480218281,1,1,10,10
2,0.19,SHAMPORT (B167),0.1,0.15,0.08,0.08,0.08,0.32,0.1364256480218281,1,1,10,10
3,0.0,ALL WONGCHOY (C278),0.1,0.15,0.08,0.08,0.08,0.0,0.06684856753069578,0,0,0,0
4,0.19,CAMFORD MAGIC (C468),0.1,0.15,0.08,0.08,0.08,0.0,0.0927694406548431,0,0,0,0
5,0.0,BULLISH BROTHER (C034),0.1,0.15,0.08,0.08,0.08,0.32,0.11050477489768078,0,0,0,0
6,0.19,KUNG FU TEA (C136),0.1,0.15,0.08,0.0,0.08,0.0,0.08185538881309685,0,0,0,0
7,0.0,SPIRIT (B235),0.1,0.15,0.0,0.0,0.0,0.0,0.034106412005457026,0,0,0,0
8,0.19,U W BROTHER (C389),0.1,0.15,0.0,0.0,0.08,0.0,0.07094133697135062,0,0,0,0
9,0.19,ISLAND WINNER (C088),0.1,0.15,0.0,0.0,0.0,0.0,0.060027285129604376,0,0,0,0
10,0.19,BRILLIANT (C005),0.1,0.15,0.0,0.0,0.0,0.0,0.060027285129604376,0,0,0,0
11,0.0,SUPER FUN (A408),0.1,0.0,0.0,0.0,0.08,0.0,0.02455661664392906,0,0,0,0
