,hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime,RowSum,first,place,winstake,plastake
0,0.0,GOD OF DRAGON (B108),0.1,0.15,0.08,0.0,0.0,0.0,0.04140526976160602,0,0,0,0
1,0.0,STARLIT KNIGHT (A137),0.1,0.15,0.08,0.08,0.08,0.32,0.10163111668757842,0,0,0,0
2,0.19,ZHAN JIANG ROCKS (B406),0.1,0.15,0.08,0.0,0.0,0.32,0.1053952321204517,0,1,0,10
3,0.19,GOLDEN TURBO (C085),0.1,0.15,0.08,0.0,0.08,0.32,0.11543287327478041,1,1,10,10
4,0.19,NITRO EXPRESS (T353),0.1,0.15,0.08,0.0,0.0,0.32,0.1053952321204517,0,1,0,10
5,0.0,FLYING TIGER HERO (C119),0.0,0.0,0.08,0.0,0.08,0.32,0.06022584692597239,0,0,0,0
6,0.19,WINNING CONTROLLER (A075),0.1,0.15,0.08,0.0,0.08,0.0,0.07528230865746549,0,0,0,0
7,0.19,FLAME LILY (B050),0.1,0.15,0.0,0.0,0.0,0.0,0.05520702634880803,0,0,0,0
8,0.19,SPEEDY WALLY (T002),0.1,0.0,0.0,0.08,0.08,0.0,0.056461731493099125,0,0,0,0
9,0.0,STRATHBARRA (C055),0.1,0.0,0.0,0.0,0.08,0.32,0.06273525721455457,0,0,0,0
10,0.19,DIONYSUS COLLIN (B436),0.1,0.15,0.0,0.08,0.08,0.32,0.11543287327478041,1,1,10,10
11,0.19,SOLAR BILLION (C171),0.1,0.15,0.0,0.0,0.08,0.32,0.1053952321204517,0,1,0,10
