,hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime,RowSum,first,place,winstake,plastake
0,0.19,GREEN LUCK (B413),0.1,0.15,0.08,0.08,0.08,0.32,0.16583747927031506,1,1,10,10
1,0.19,TURIN REDSTAR (B092),0.1,0.15,0.08,0.08,0.08,0.0,0.11276948590381423,0,1,0,10
2,0.19,MR SO AND SO (B412),0.1,0.15,0.08,0.0,0.0,0.32,0.13930348258706465,0,1,0,10
3,0.19,VICTORY BOYS (S355),0.1,0.15,0.08,0.0,0.0,0.0,0.08623548922056383,0,0,0,0
4,0.19,CIRCUIT GLORY (A402),0.1,0.0,0.08,0.0,0.08,0.0,0.07462686567164178,0,0,0,0
5,0.19,GOOD OMEN (B208),0.0,0.0,0.08,0.08,0.08,0.0,0.07131011608623548,0,0,0,0
6,0.19,DANCES WITH DRAGON (B129),0.1,0.0,0.0,0.08,0.08,0.0,0.07462686567164178,0,0,0,0
7,0.19,HAPPY DRAGON (B099),0.1,0.15,0.0,0.08,0.08,0.0,0.09950248756218903,0,0,0,0
8,0.0,HARMONY HERO (B217),0.1,0.15,0.0,0.08,0.0,0.32,0.10779436152570479,0,0,0,0
9,0.0,PLAYA DEL PUENTE (C492),0.1,0.15,0.0,0.08,0.08,0.0,0.06799336650082918,0,0,0,0
