,hid,Horse,Trainer,Jockey,Rate,Rtg,Horseweight,Besttime,RowSum,first,place,winstake,plastake
0,0.19,EVERBRAVE (A364),0.1,0.0,0.08,0.08,0.0,0.32,0.09123222748815167,0,0,0,0
1,0.0,HAPPY WIN WIN (C125),0.1,0.0,0.08,0.0,0.0,0.0,0.02132701421800948,0,0,0,0
2,0.19,HARDLY SWEARS (C025),0.1,0.15,0.08,0.08,0.08,0.32,0.11848341232227488,1,1,10,10
3,0.19,SHOUSON (C326),0.1,0.15,0.08,0.0,0.08,0.32,0.10900473933649289,0,1,0,10
4,0.19,BRIGHT KID (C060),0.0,0.15,0.08,0.0,0.08,0.32,0.09715639810426542,0,0,0,0
5,0.19,AMAZING PARADISE (C518),0.1,0.15,0.08,0.08,0.08,0.32,0.11848341232227488,1,1,10,10
6,0.0,STUNNING IMPACT (C366),0.1,0.15,0.08,0.08,0.08,0.32,0.09597156398104266,0,0,0,0
7,0.19,THE SHOW (T256),0.1,0.15,0.0,0.0,0.08,0.32,0.09952606635071092,0,0,0,0
8,0.19,TRAVEL DATUK (V235),0.1,0.15,0.0,0.0,0.08,0.32,0.09952606635071092,0,0,0,0
9,0.0,MISCHIEVOUS SUNDAE (C016),0.1,0.15,0.0,0.0,0.08,0.0,0.03909952606635071,0,0,0,0
10,0.19,SUPER RED DRAGON (C191),0.1,0.15,0.0,0.0,0.08,0.0,0.06161137440758294,0,0,0,0
11,0.0,MULTIMAX (T129),0.1,0.15,0.0,0.08,0.08,0.0,0.04857819905213271,0,0,0,0
