hid,age,horseweight,exweight,horseweightchg,besttime,distance,jname,tname,rating,ratechg,ind_pla,ind_win,winstake,plastake
3,6,1102,133,6,109.75,1800,0.162217221,0.264547091,56,0,0,0,0,0
7,4,1117,131,16,109.89,1800,0.266868077,0.271477663,54,6,1,1,0,0
10,5,1163,130,20,109.12,1800,0.432066632,0.241245136,53,0,0,0,0,0
5,6,1055,127,16,109.69,1800,0.226495726,0.223614776,50,1,0,0,0,0
11,7,1125,126,10,109.26,1800,0.506429278,0.261402314,49,0,1,0,0,0
2,5,1023,124,10,109.34,1800,0.229134099,0.366071429,47,-2,1,0,0,0
4,6,1078,122,11,0,1800,0.190268175,0.213391399,45,-2,0,0,0,0
9,6,1119,120,9,0,1800,0.232934553,0.185154295,43,0,0,0,0,0
8,7,1007,120,2,110.04,1800,0.173726212,0.213391399,43,-2,0,0,0,0
1,6,1072,120,13,109.58,1800,0.202296256,0.185154295,43,5,0,0,0,0
6,6,1138,118,-13,0,1800,0.235020134,0.235741445,41,-2,0,0,0,0
