hid,age,horseweight,exweight,horseweightchg,besttime,distance,jname,tname,rating,ratechg,ind_pla,ind_win,winstake,plastake
10,8,1041,130,-3,109.67,1800,0.163768072,0.263529412,74,-2,0,0,0,0
4,5,1118,129,2,109.1,1800,0.432066632,0.262773723,73,0,1,1,0,0
6,5,1254,128,-33,0,1800,0.277108434,0.262773723,72,-2,0,0,0,0
1,5,1027,126,16,109.05,1800,0.506429278,0.223614776,70,0,1,0,0,0
12,5,1124,121,-13,110.28,1800,0.156733956,0.241245136,65,0,0,0,0,0
11,5,980,124,10,110.86,1800,0.190245474,0.394871795,68,-2,0,0,0,0
2,7,1056,123,12,109.74,1800,0.191195451,0.276306371,67,-2,0,0,0,0
7,4,1045,121,-4,0,1800,0.250320924,0.264547091,65,-2,0,0,0,0
3,7,1168,119,-9,109.31,1800,0.173726212,0.213391399,63,6,1,0,0,0
8,4,1098,118,9,0,1800,0.202257767,0.223614776,62,-2,0,0,0,0
5,5,1052,118,6,0,1800,0.194140092,0.366071429,62,0,0,0,0,0
9,5,1062,118,-3,109.16,1800,0.266868077,0.241245136,62,0,0,0,0,0
