hid,age,horseweight,exweight,horseweightchg,besttime,distance,jname,tname,rating,ratechg,ind_pla,ind_win,winstake,plastake
6,4,1169,133,0,57.33,1000,0.432066632,0.224276032,60,2,1,1,0,0
9,6,1050,130,-23,57.11,1000,0.506429278,0.234627832,57,-1,1,0,0,0
3,4,1091,128,10,0,1000,0.197815534,0.19189907,55,-2,0,0,0,0
1,6,1033,127,2,57.87,1000,0.189194315,0.213391399,54,0,0,0,0,0
4,4,1154,125,0,0,1000,0.116847826,0.213967311,52,0,0,0,0,0
12,5,1206,123,30,57.52,1000,0.266868077,0.263529412,50,1,0,0,0,0
7,3,1036,121,6,0,1000,0.277108434,0.262773723,48,-2,1,0,0,0
8,3,1026,121,-16,0,1000,0.173015028,0.223614776,48,0,0,0,0,0
5,4,1193,118,11,0,1000,0.181491465,0.276306371,45,-3,0,0,0,0
10,4,1047,115,27,56.97,1000,0.173726212,0.235741445,42,-4,0,0,0,0
11,4,1116,115,-4,58.54,1000,0.218038345,0.261402314,42,-2,0,0,0,0
2,5,1154,115,13,57.79,1000,0.232934553,0.226415094,42,5,0,0,0,0
