hid,age,horseweight,exweight,horseweightchg,besttime,distance,jname,tname,rating,ratechg,ind_pla,ind_win
10,5,1078,133,1,69.74,1200,0.1568627450980392,0.2242152466367713,79,0,1,0
7,5,1152,132,-9,69.54,1200,0.4320666319625195,0.26277372262773724,78,2,1,1
2,4,1021,129,13,71.89,1200,0.22222416190193195,0.36607142857142855,75,-1,0,0
3,5,1029,129,5,0.0,1200,0.23849107901541,0.26454709058188364,75,-1,1,0
8,4,1076,128,6,70.39,1200,0.23989965244078634,0.2139673105497771,74,-4,0,0
12,4,1176,125,12,0.0,1200,0.2354443552119277,0.25961538461538464,71,-1,0,0
6,7,1077,125,7,69.38,1200,0.1562239761517241,0.21339139902014154,71,-2,0,0
5,5,1039,123,10,69.83,1200,0.17372621240024555,0.19189907038512616,69,0,0,0
11,4,1014,120,-7,0.0,1200,0.19781553398058246,0.35294117647058826,66,-2,0,0
9,5,1088,119,-2,0.0,1200,0.2329345531315975,0.22427603203943314,65,0,0,0
4,5,1071,117,-5,0.0,1200,0.1737438421112132,0.22641509433962265,63,0,0,0
1,4,1139,117,-3,70.17,1200,0.26686807653575023,0.3948717948717949,63,0,0,0
