hid,age,horseweight,exweight,horseweightchg,besttime,distance,jname,tname,rating,ratechg,ind_pla,ind_win
9,6,1023,133,-1,69.77,1200,0.4320666319625195,0.35294117647058826,60,0,1,1
12,5,1152,131,3,69.94,1200,0.506429277942631,0.18515429524603835,58,0,1,0
11,6,1104,129,12,71.08,1200,0.2503209242618742,0.26277372262773724,56,-2,0,0
8,6,1109,125,12,69.99,1200,0.2303795836661202,0.21339139902014154,52,-1,0,0
5,6,1177,122,-5,70.13,1200,0.17372621240024555,0.22427603203943314,49,-2,0,0
6,4,1155,122,-2,0.0,1200,0.16895447084669374,0.23462783171521034,49,-3,0,0
7,4,1101,122,9,70.42,1200,0.17732629992408264,0.26454709058188364,49,-2,0,0
1,6,1100,121,5,69.84,1200,0.22732096480348002,0.3948717948717949,48,0,1,0
4,6,1042,119,-8,0.0,1200,0.26686807653575023,0.2635294117647059,46,-2,0,0
3,5,1099,119,2,70.12,1200,0.22977058786299615,0.24124513618677046,46,-1,0,0
10,6,1095,118,8,70.26,1200,0.18149146451033246,0.19189907038512616,45,6,0,0
2,4,1104,116,54,0.0,1200,0.27710843373493976,0.2614023144996596,43,-5,0,0
