Unnamed: 0,index,hid,finishm,age,besttime,class,horseweight,exweight,horseweightchg,distance,track,going,jname,tname,datediff,rating,ratechg,ind_win,ind_pla
14,77966,1,56.73,4.0,56.54,Class 4,1072.0,133,1.0,1000,TURF,GOOD,0.17289719626168226,0.23462783171521034,63.0,60.0,2.0,0,0
15,77967,2,57.22,5.0,56.27,Class 4,1202.0,133,20.0,1000,TURF,GOOD,0.32205128205128203,0.26454709058188364,102.0,60.0,-1.0,0,0
16,77968,3,57.34,5.0,59.96,Class 4,1091.0,123,5.0,1000,TURF,GOOD,0.15746753246753248,0.2614023144996596,56.0,60.0,-3.0,0,0
17,77969,4,56.69,4.0,56.79,Class 4,1147.0,132,7.0,1000,TURF,GOOD,0.2503209242618742,0.2614023144996596,77.0,59.0,0.0,0,0
18,77970,5,57.04,5.0,56.6,Class 4,1061.0,132,35.0,1000,TURF,GOOD,0.2316715542521994,0.2714776632302405,186.0,59.0,-1.0,0,0
20,77972,7,56.91,10.0,55.93,Class 4,1078.0,120,4.0,1000,TURF,GOOD,0.048689138576779034,0.23462783171521034,71.0,49.0,5.0,0,0
22,77974,9,57.47,6.0,57.7,Class 4,1117.0,119,4.0,1000,TURF,GOOD,0.1288782816229117,0.25961538461538464,81.0,46.0,-2.0,0,0
23,77975,10,57.08,6.0,57.84,Class 4,1191.0,116,20.0,1000,TURF,GOOD,0.17372621240024555,0.25961538461538464,56.0,45.0,0.0,0,0
24,77976,11,56.44,4.0,56.01,Class 4,1165.0,115,13.0,1000,TURF,GOOD,0.26686807653575023,0.2635294117647059,71.0,42.0,1.0,0,1
26,77978,13,56.43,6.0,56.03,Class 4,1159.0,112,-8.0,1000,TURF,GOOD,0.1568627450980392,0.2763063707945598,71.0,41.0,-1.0,0,1
52,78004,1,70.38,7.0,69.69,Class 4,1015.0,133,11.0,1200,TURF,GOOD,0.2551813471502591,0.21339139902014154,56.0,60.0,-1.0,0,0
53,78005,2,70.1,5.0,69.44,Class 4,1155.0,131,16.0,1200,TURF,GOOD,0.17289719626168226,0.2635294117647059,84.0,58.0,0.0,0,1
54,78006,3,71.02,4.0,70.32,Class 4,1061.0,129,5.0,1200,TURF,GOOD,0.1568627450980392,0.2614023144996596,67.0,58.0,-1.0,0,0
56,78008,5,70.13,4.0,69.97,Class 4,1115.0,125,23.0,1200,TURF,GOOD,0.2503209242618742,0.2714776632302405,56.0,52.0,0.0,0,0
57,78009,6,70.16,6.0,70.06,Class 4,1113.0,113,6.0,1200,TURF,GOOD,0.15746753246753248,0.23462783171521034,60.0,50.0,-2.0,0,0
58,78010,7,69.88,4.0,70.76,Class 4,1120.0,121,11.0,1200,TURF,GOOD,0.1288782816229117,0.2242152466367713,228.0,48.0,-4.0,1,1
59,78011,8,70.24,6.0,69.99,Class 4,1236.0,108,18.0,1200,TURF,GOOD,0.25,0.25961538461538464,67.0,45.0,-3.0,0,0
60,78012,9,70.03,7.0,69.81,Class 4,1089.0,118,-4.0,1200,TURF,GOOD,0.506429277942631,0.18515429524603835,60.0,45.0,-2.0,0,1
61,78013,10,70.29,6.0,69.64,Class 4,1011.0,115,6.0,1200,TURF,GOOD,0.17372621240024555,0.16493656286043828,56.0,44.0,5.0,0,0
62,78014,11,70.27,4.0,70.66,Class 4,1124.0,117,23.0,1200,TURF,GOOD,0.26686807653575023,0.19189907038512616,63.0,44.0,-4.0,0,0
63,78015,12,70.74,5.0,71.73,Class 4,1076.0,116,20.0,1200,TURF,GOOD,0.10614525139664804,0.22641509433962265,77.0,43.0,1.0,0,0
64,78016,13,70.28,7.0,70.38,Class 4,1124.0,113,40.0,1200,TURF,GOOD,0.048689138576779034,0.24124513618677046,56.0,42.0,-3.0,0,0
65,78017,14,70.41,7.0,71.65,Class 4,1150.0,114,26.0,1200,TURF,GOOD,0.2329345531315975,0.22427603203943314,56.0,41.0,-2.0,0,0
66,78018,1,83.02,7.0,82.25,Class 4,1089.0,132,2.0,1400,TURF,GOOD,0.32205128205128203,0.18515429524603835,67.0,55.0,1.0,0,0
67,78019,2,83.75,4.0,84.25,Class 4,1064.0,131,22.0,1400,TURF,GOOD,0.2329345531315975,0.2242152466367713,71.0,54.0,-5.0,0,0
68,78020,3,83.47,6.0,83.34,Class 4,1164.0,130,8.0,1400,TURF,GOOD,0.506429277942631,0.22427603203943314,63.0,53.0,-3.0,0,0
70,78022,5,83.66,6.0,82.71,Class 4,1125.0,129,1.0,1400,TURF,GOOD,0.2503209242618742,0.16493656286043828,71.0,52.0,-5.0,0,0
71,78023,6,82.91,8.0,82.19,Class 4,1127.0,127,-10.0,1400,TURF,GOOD,0.17372621240024555,0.21339139902014154,67.0,52.0,-3.0,0,1
72,78024,7,83.91,6.0,82.7,Class 4,1145.0,127,-18.0,1400,TURF,GOOD,0.26686807653575023,0.2635294117647059,71.0,50.0,0.0,0,0
74,78026,9,82.52,4.0,82.65,Class 4,1095.0,123,-5.0,1400,TURF,GOOD,0.2551813471502591,0.22641509433962265,60.0,46.0,-3.0,1,1
75,78027,10,83.92,4.0,82.63,Class 4,1143.0,121,21.0,1400,TURF,GOOD,0.18149146451033246,0.2714776632302405,84.0,44.0,5.0,0,0
76,78028,11,83.28,8.0,82.55,Class 4,1111.0,121,-7.0,1400,TURF,GOOD,0.1288782816229117,0.13438735177865613,67.0,44.0,-6.0,0,0
77,78029,12,83.53,5.0,82.34,Class 4,1186.0,117,3.0,1400,TURF,GOOD,0.048689138576779034,0.23462783171521034,105.0,42.0,2.0,0,0
78,78030,13,84.09,5.0,83.8,Class 4,1129.0,109,23.0,1400,TURF,GOOD,0.15746753246753248,0.23462783171521034,91.0,42.0,7.0,0,0
79,78031,14,82.75,7.0,81.75,Class 4,1048.0,108,33.0,1400,TURF,GOOD,0.25,0.24124513618677046,71.0,41.0,-4.0,0,1
139,78091,1,71.32,7.0,69.5,Class 4,1004.0,123,-11.0,1200,TURF,GOOD,0.15746753246753248,0.21339139902014154,3.0,60.0,0.0,0,0
140,78092,2,71.55,5.0,69.77,Class 4,1124.0,129,17.0,1200,TURF,GOOD,0.2503209242618742,0.26454709058188364,80.0,56.0,-1.0,0,0
141,78093,3,71.12,6.0,70.17,Class 4,1207.0,128,8.0,1200,TURF,GOOD,0.2316715542521994,0.2614023144996596,66.0,55.0,-2.0,0,1
142,78094,4,71.44,4.0,70.15,Class 4,1091.0,128,3.0,1200,TURF,GOOD,0.17289719626168226,0.22361477572559368,63.0,55.0,0.0,0,0
145,78097,7,72.36,9.0,69.76,Class 4,1168.0,124,18.0,1200,TURF,GOOD,0.10614525139664804,0.11513859275053305,59.0,51.0,-8.0,0,0
146,78098,8,71.5,8.0,70.22,Class 4,1082.0,122,-13.0,1200,TURF,GOOD,0.26686807653575023,0.23462783171521034,63.0,49.0,-2.0,0,0
147,78099,9,71.95,6.0,69.82,Class 4,1230.0,120,-4.0,1200,TURF,GOOD,0.2551813471502591,0.16493656286043828,77.0,47.0,-5.0,0,0
149,78101,11,70.97,6.0,69.77,Class 4,980.0,112,13.0,1200,TURF,GOOD,0.1568627450980392,0.13438735177865613,63.0,41.0,10.0,1,1
171,78123,1,71.25,5.0,70.2,Class 4,1072.0,133,-3.0,1200,TURF,GOOD,0.506429277942631,0.24124513618677046,77.0,60.0,-4.0,0,0
172,78124,2,71.99,5.0,69.86,Class 4,1083.0,130,-1.0,1200,TURF,GOOD,0.2551813471502591,0.22641509433962265,63.0,57.0,2.0,0,0
174,78126,4,71.37,6.0,70.32,Class 4,1075.0,129,-19.0,1200,TURF,GOOD,0.32205128205128203,0.16493656286043828,63.0,56.0,-8.0,0,0
175,78127,5,71.64,7.0,70.34,Class 4,1041.0,124,14.0,1200,TURF,GOOD,0.19781553398058246,0.21339139902014154,66.0,53.0,1.0,0,0
177,78129,7,71.72,5.0,70.2,Class 4,1183.0,123,21.0,1200,TURF,GOOD,0.18149146451033246,0.26454709058188364,98.0,50.0,-3.0,0,0
178,78130,8,70.91,6.0,70.02,Class 4,1113.0,113,0.0,1200,TURF,GOOD,0.15746753246753248,0.23462783171521034,3.0,50.0,0.0,0,1
179,78131,9,70.99,8.0,69.9,Class 4,1125.0,121,14.0,1200,TURF,GOOD,0.2316715542521994,0.19189907038512616,59.0,48.0,-3.0,0,1
