Unnamed: 0,index,hid,finishm,age,besttime,class,horseweight,exweight,horseweightchg,distance,track,going,jname,tname,datediff,rating,ratechg,ind_win,ind_pla
80,78032,1,83.14,6.0,81.97,Class 2,1067.0,131,11.0,1400,TURF,GOOD,0.26686807653575023,0.3948717948717949,67.0,94.0,3.0,0,0
81,78033,2,82.81,6.0,81.16,Class 2,1260.0,128,23.0,1400,TURF,GOOD,0.2316715542521994,0.22641509433962265,161.0,91.0,0.0,0,1
82,78034,3,82.35,5.0,82.07,Class 2,1146.0,126,-3.0,1400,TURF,GOOD,0.506429277942631,0.2614023144996596,98.0,89.0,6.0,1,1
83,78035,4,82.64,5.0,81.12,Class 2,1133.0,121,12.0,1400,TURF,GOOD,0.17372621240024555,0.22427603203943314,56.0,86.0,2.0,0,1
84,78036,5,82.88,5.0,82.35,Class 2,1167.0,123,17.0,1400,TURF,GOOD,0.2551813471502591,0.21339139902014154,84.0,86.0,0.0,0,0
85,78037,6,82.97,5.0,84.81,Class 2,1152.0,121,1.0,1400,TURF,GOOD,0.2503209242618742,0.2357414448669201,120.0,84.0,-1.0,0,0
86,78038,7,83.43,3.0,81.41,Class 2,1076.0,121,30.0,1400,TURF,GOOD,0.18149146451033246,0.2714776632302405,56.0,84.0,-1.0,0,0
88,78040,9,83.71,5.0,82.66,Class 2,1250.0,120,13.0,1400,TURF,GOOD,0.2329345531315975,0.26454709058188364,71.0,83.0,6.0,0,0
89,78041,10,83.56,6.0,82.24,Class 2,1100.0,118,18.0,1400,TURF,GOOD,0.048689138576779034,0.24124513618677046,67.0,83.0,-1.0,0,0
90,78042,11,83.29,6.0,82.84,Class 2,1078.0,116,0.0,1400,TURF,GOOD,0.1568627450980392,0.26454709058188364,74.0,81.0,0.0,0,0
91,78043,1,56.27,8.0,55.56,Class 2,1117.0,130,24.0,1000,TURF,GOOD,0.2503209242618742,0.21339139902014154,126.0,93.0,6.0,0,0
92,78044,2,56.39,7.0,56.07,Class 2,1129.0,127,0.0,1000,TURF,GOOD,0.17372621240024555,0.24124513618677046,88.0,92.0,-2.0,0,0
93,78045,3,56.27,5.0,56.08,Class 2,1110.0,128,15.0,1000,TURF,GOOD,0.2551813471502591,0.26454709058188364,88.0,91.0,3.0,0,0
94,78046,4,56.69,6.0,55.85,Class 2,1041.0,126,0.0,1000,TURF,GOOD,0.2316715542521994,0.16493656286043828,77.0,89.0,-1.0,0,0
95,78047,5,56.01,4.0,56.13,Class 2,1169.0,125,12.0,1000,TURF,GOOD,0.18149146451033246,0.22641509433962265,77.0,88.0,0.0,0,1
97,78049,7,56.91,7.0,55.98,Class 2,1153.0,123,6.0,1000,TURF,GOOD,0.32205128205128203,0.3948717948717949,88.0,86.0,-2.0,0,0
100,78052,10,56.09,6.0,55.63,Class 2,1182.0,120,-21.0,1000,TURF,GOOD,0.26686807653575023,0.2242152466367713,60.0,83.0,-4.0,0,1
101,78053,11,56.11,4.0,55.6,Class 2,1091.0,119,31.0,1000,TURF,GOOD,0.506429277942631,0.3948717948717949,84.0,82.0,6.0,0,0
102,78054,12,56.42,5.0,56.39,Class 2,1088.0,113,10.0,1000,TURF,GOOD,0.06962785114045618,0.2614023144996596,60.0,81.0,-1.0,0,0
419,78371,1,100.86,5.0,99.6,Class 2,1150.0,133,24.0,1650,TURF,GOOD,0.18149146451033246,0.2714776632302405,73.0,97.0,-2.0,0,0
420,78372,2,100.72,5.0,99.24,Class 2,1097.0,128,25.0,1650,TURF,GOOD,0.2316715542521994,0.24124513618677046,70.0,92.0,0.0,0,0
421,78373,3,101.78,8.0,99.46,Class 2,1211.0,127,18.0,1650,TURF,GOOD,0.26518391787852863,0.22427603203943314,91.0,91.0,0.0,0,0
422,78374,4,100.7,5.0,100.69,Class 2,1103.0,127,1.0,1650,TURF,GOOD,0.506429277942631,0.2635294117647059,91.0,91.0,4.0,0,1
423,78375,5,101.15,4.0,99.58,Class 2,1166.0,123,-12.0,1650,TURF,GOOD,0.2551813471502591,0.22641509433962265,77.0,87.0,-1.0,0,0
424,78376,6,100.44,6.0,99.49,Class 2,1049.0,112,14.0,1650,TURF,GOOD,0.15746753246753248,0.21339139902014154,91.0,86.0,0.0,1,1
425,78377,7,101.23,6.0,100.42,Class 2,1232.0,120,18.0,1650,TURF,GOOD,0.1568627450980392,0.25961538461538464,84.0,86.0,3.0,0,0
426,78378,8,101.87,6.0,100.41,Class 2,1087.0,117,-13.0,1650,TURF,GOOD,0.048689138576779034,0.24124513618677046,10.0,83.0,0.0,0,0
427,78379,9,100.64,6.0,100.33,Class 2,1071.0,115,-7.0,1650,TURF,GOOD,0.19781553398058246,0.26454709058188364,10.0,81.0,0.0,0,1
428,78380,10,101.11,5.0,100.13,Class 2,1056.0,115,-5.0,1650,TURF,GOOD,0.12080536912751677,0.3948717948717949,73.0,81.0,0.0,0,0
513,78465,1,69.63,6.0,69.26,Class 2,1139.0,131,14.0,1200,TURF,GOOD TO FIRM,0.2503209242618742,0.22641509433962265,80.0,94.0,-1.0,0,0
514,78466,2,69.46,5.0,69.88,Class 2,1225.0,131,-12.0,1200,TURF,GOOD TO FIRM,0.26518391787852863,0.16493656286043828,13.0,94.0,0.0,0,0
515,78467,3,69.58,8.0,69.03,Class 2,1126.0,120,9.0,1200,TURF,GOOD TO FIRM,0.25,0.21339139902014154,13.0,93.0,0.0,0,0
516,78468,4,69.52,6.0,69.93,Class 2,1132.0,130,45.0,1200,TURF,GOOD TO FIRM,0.32205128205128203,0.26277372262773724,195.0,93.0,1.0,0,0
517,78469,5,69.27,6.0,69.14,Class 2,1111.0,129,4.0,1200,TURF,GOOD TO FIRM,0.4320666319625195,0.24124513618677046,69.0,92.0,-2.0,0,1
518,78470,6,69.19,4.0,68.46,Class 2,1181.0,129,-18.0,1200,TURF,GOOD TO FIRM,0.2329345531315975,0.2635294117647059,13.0,92.0,8.0,0,1
519,78471,7,69.53,6.0,69.95,Class 2,1067.0,125,15.0,1200,TURF,GOOD TO FIRM,0.19781553398058246,0.2614023144996596,126.0,90.0,-2.0,0,0
520,78472,8,69.71,5.0,69.03,Class 2,1089.0,123,16.0,1200,TURF,GOOD TO FIRM,0.18149146451033246,0.2714776632302405,73.0,86.0,1.0,0,0
521,78473,9,69.31,5.0,69.07,Class 2,1117.0,118,17.0,1200,TURF,GOOD TO FIRM,0.1568627450980392,0.2242152466367713,118.0,83.0,-1.0,0,0
522,78474,10,70.39,5.0,69.68,Class 2,1115.0,129,6.0,1200,TURF,GOOD TO FIRM,0.12080536912751677,0.2139673105497771,69.0,94.0,4.0,0,0
523,78475,11,68.8,4.0,69.3,Class 2,1121.0,118,4.0,1200,TURF,GOOD TO FIRM,0.506429277942631,0.3948717948717949,69.0,81.0,0.0,1,1
524,78476,12,69.51,5.0,68.74,Class 2,1075.0,118,16.0,1200,TURF,GOOD TO FIRM,0.2316715542521994,0.19189907038512616,69.0,81.0,0.0,0,0
768,78720,1,83.03,6.0,81.97,Class 2,1075.0,131,8.0,1400,TURF,GOOD,0.32205128205128203,0.3948717948717949,22.0,94.0,0.0,0,0
769,78721,2,82.54,5.0,81.05,Class 2,1106.0,130,0.0,1400,TURF,GOOD,0.2503209242618742,0.22361477572559368,78.0,93.0,-1.0,0,0
770,78722,3,82.45,6.0,81.16,Class 2,1249.0,118,-11.0,1400,TURF,GOOD,0.25,0.22641509433962265,22.0,91.0,0.0,0,0
771,78723,4,82.18,7.0,81.44,Class 2,1116.0,128,20.0,1400,TURF,GOOD,0.4320666319625195,0.21339139902014154,78.0,91.0,-4.0,1,1
772,78724,5,82.73,5.0,81.12,Class 2,1164.0,125,31.0,1400,TURF,GOOD,0.26518391787852863,0.22427603203943314,22.0,88.0,2.0,0,0
773,78725,6,82.55,5.0,82.16,Class 2,1155.0,122,-28.0,1400,TURF,GOOD,0.26686807653575023,0.2635294117647059,99.0,85.0,-2.0,0,0
774,78726,7,84.16,6.0,81.35,Class 2,1132.0,119,-4.0,1400,TURF,GOOD,0.12080536912751677,0.3948717948717949,93.0,84.0,0.0,0,0
775,78727,8,82.39,5.0,81.4,Class 2,1108.0,121,-7.0,1400,TURF,GOOD,0.506429277942631,0.25961538461538464,22.0,84.0,5.0,0,0
776,78728,9,82.3,3.0,81.41,Class 2,1067.0,121,-9.0,1400,TURF,GOOD,0.2316715542521994,0.2714776632302405,22.0,84.0,0.0,0,1
777,78729,10,82.7,4.0,81.94,Class 2,1102.0,120,3.0,1400,TURF,GOOD,0.2329345531315975,0.26277372262773724,96.0,83.0,2.0,0,0
780,78732,13,82.38,5.0,81.87,Class 2,1207.0,117,2.0,1400,TURF,GOOD,0.1568627450980392,0.2242152466367713,93.0,82.0,0.0,0,1
781,78733,14,83.06,5.0,81.62,Class 2,1081.0,116,-7.0,1400,TURF,GOOD,0.19781553398058246,0.2614023144996596,22.0,81.0,0.0,0,0
897,78849,1,70.36,4.0,69.03,Class 2,1059.0,132,-7.0,1200,TURF,GOOD,0.17289719626168226,0.2635294117647059,25.0,95.0,5.0,0,0
898,78850,2,69.68,5.0,69.0,Class 2,1140.0,131,16.0,1200,TURF,GOOD,0.506429277942631,0.3948717948717949,85.0,94.0,0.0,0,1
899,78851,3,69.8,4.0,70.56,Class 2,1125.0,130,-4.0,1200,TURF,GOOD,0.2551813471502591,0.22361477572559368,88.0,93.0,2.0,0,0
900,78852,4,69.5,8.0,69.03,Class 2,1131.0,120,5.0,1200,TURF,GOOD,0.25,0.21339139902014154,12.0,93.0,0.0,0,1
902,78854,6,70.13,6.0,69.42,Class 2,1035.0,124,-6.0,1200,TURF,GOOD,0.12080536912751677,0.16493656286043828,25.0,89.0,0.0,0,0
903,78855,7,70.07,6.0,69.27,Class 2,1134.0,125,13.0,1200,TURF,GOOD,0.2316715542521994,0.19189907038512616,85.0,88.0,0.0,0,0
904,78856,8,70.32,5.0,69.09,Class 2,1171.0,125,-14.0,1200,TURF,GOOD,0.4320666319625195,0.2763063707945598,96.0,88.0,10.0,0,0
907,78859,11,69.34,4.0,68.91,Class 2,1120.0,120,-6.0,1200,TURF,GOOD,0.26686807653575023,0.2614023144996596,18.0,83.0,8.0,1,1
908,78860,12,69.92,6.0,69.15,Class 2,1204.0,118,22.0,1200,TURF,GOOD,0.1568627450980392,0.2242152466367713,25.0,83.0,0.0,0,0
909,78861,13,70.81,4.0,71.81,Class 2,1189.0,118,26.0,1200,TURF,GOOD,0.19781553398058246,0.2614023144996596,236.0,83.0,-4.0,0,0
910,78862,14,70.01,5.0,69.35,Class 2,1042.0,113,14.0,1200,TURF,GOOD,0.06962785114045618,0.2714776632302405,22.0,81.0,5.0,0,0
1030,78982,1,95.66,4.0,95.14,Class 2,1098.0,133,-6.0,1600,TURF,GOOD TO YIELDING,0.32205128205128203,0.3948717948717949,91.0,96.0,7.0,0,0
1031,78983,2,96.01,4.0,95.47,Class 2,1083.0,130,-25.0,1600,TURF,GOOD TO YIELDING,0.26518391787852863,0.24124513618677046,119.0,93.0,0.0,0,0
1032,78984,3,95.84,5.0,95.15,Class 2,1251.0,129,-12.0,1600,TURF,GOOD TO YIELDING,0.2316715542521994,0.26277372262773724,91.0,92.0,-1.0,0,0
1033,78985,4,96.07,8.0,95.96,Class 2,1212.0,118,1.0,1600,TURF,GOOD TO YIELDING,0.15746753246753248,0.22427603203943314,18.0,91.0,0.0,0,0
1034,78986,5,95.17,5.0,94.0,Class 2,1154.0,123,-13.0,1600,TURF,GOOD TO YIELDING,0.2551813471502591,0.21339139902014154,28.0,86.0,0.0,1,1
1037,78989,8,95.99,5.0,94.76,Class 2,1064.0,118,13.0,1600,TURF,GOOD TO YIELDING,0.1568627450980392,0.2242152466367713,214.0,83.0,5.0,0,0
1038,78990,9,95.94,5.0,94.8,Class 2,1258.0,120,8.0,1600,TURF,GOOD TO YIELDING,0.2329345531315975,0.26454709058188364,28.0,83.0,0.0,0,0
1039,78991,10,95.8,4.0,94.92,Class 2,1151.0,118,4.0,1600,TURF,GOOD TO YIELDING,0.26686807653575023,0.2714776632302405,21.0,81.0,2.0,0,0
1040,78992,11,96.27,6.0,95.36,Class 2,1024.0,116,-3.0,1600,TURF,GOOD TO YIELDING,0.19781553398058246,0.22641509433962265,91.0,81.0,-1.0,0,0
1041,78993,12,95.95,5.0,94.4,Class 2,1075.0,116,19.0,1600,TURF,GOOD TO YIELDING,0.12080536912751677,0.3948717948717949,18.0,81.0,0.0,0,0
1042,78994,13,95.36,4.0,94.8,Class 2,1194.0,118,-18.0,1600,TURF,GOOD TO YIELDING,0.10614525139664804,0.22641509433962265,18.0,81.0,0.0,0,1
1113,79065,1,70.25,5.0,69.13,Class 2,1227.0,131,2.0,1200,TURF,GOOD TO YIELDING,0.2503209242618742,0.16493656286043828,18.0,94.0,0.0,0,1
1114,79066,2,70.63,9.0,69.08,Class 2,1149.0,128,-20.0,1200,TURF,GOOD TO YIELDING,0.1568627450980392,0.17221770917952886,119.0,93.0,-1.0,0,0
1115,79067,3,70.11,6.0,70.02,Class 2,1118.0,129,7.0,1200,TURF,GOOD TO YIELDING,0.4320666319625195,0.24124513618677046,18.0,92.0,0.0,0,1
1116,79068,4,70.84,4.0,69.78,Class 2,1110.0,127,11.0,1200,TURF,GOOD TO YIELDING,0.506429277942631,0.26277372262773724,98.0,90.0,-1.0,0,0
1117,79069,5,70.02,4.0,69.58,Class 2,1066.0,125,-5.0,1200,TURF,GOOD TO YIELDING,0.2551813471502591,0.25961538461538464,14.0,88.0,10.0,1,1
1118,79070,6,70.37,5.0,69.6,Class 2,1055.0,123,19.0,1200,TURF,GOOD TO YIELDING,0.2316715542521994,0.19189907038512616,91.0,86.0,-1.0,0,0
1119,79071,7,70.5,6.0,69.38,Class 2,1166.0,117,29.0,1200,TURF,GOOD TO YIELDING,0.06962785114045618,0.2714776632302405,119.0,85.0,-6.0,0,0
1121,79073,9,70.67,5.0,70.09,Class 2,1126.0,120,9.0,1200,TURF,GOOD TO YIELDING,0.26686807653575023,0.2242152466367713,18.0,83.0,0.0,0,0
1224,79176,1,81.27,9.0,81.31,Class 2,1077.0,133,9.0,1400,TURF,GOOD,0.2551813471502591,0.21339139902014154,27.0,103.0,0.0,0,1
1225,79177,2,81.45,6.0,81.68,Class 2,1125.0,133,-6.0,1400,TURF,GOOD,0.2316715542521994,0.26277372262773724,27.0,103.0,0.0,0,0
1226,79178,3,81.8,6.0,81.69,Class 2,1162.0,129,-8.0,1400,TURF,GOOD,0.32205128205128203,0.2763063707945598,90.0,99.0,0.0,0,0
1227,79179,4,80.91,5.0,82.07,Class 2,1173.0,128,27.0,1400,TURF,GOOD,0.4320666319625195,0.2614023144996596,34.0,98.0,9.0,1,1
1228,79180,5,81.41,5.0,81.86,Class 2,1143.0,127,-7.0,1400,TURF,GOOD,0.2503209242618742,0.2714776632302405,24.0,97.0,0.0,0,0
1229,79181,6,82.13,7.0,81.3,Class 2,1060.0,125,-15.0,1400,TURF,GOOD,0.19781553398058246,0.26277372262773724,97.0,97.0,-4.0,0,0
1230,79182,7,82.07,6.0,81.07,Class 2,1114.0,121,2.0,1400,TURF,GOOD,0.06962785114045618,0.2714776632302405,27.0,96.0,0.0,0,0
1231,79183,8,81.4,4.0,81.0,Class 2,1132.0,124,11.0,1400,TURF,GOOD,0.506429277942631,0.3948717948717949,21.0,94.0,13.0,0,1
1232,79184,9,82.02,6.0,82.16,Class 2,1062.0,121,20.0,1400,TURF,GOOD,0.17289719626168226,0.22641509433962265,115.0,91.0,5.0,0,0
1234,79186,11,82.91,7.0,81.07,Class 2,1181.0,108,29.0,1400,TURF,GOOD,0.15746753246753248,0.2242152466367713,90.0,88.0,-1.0,0,0
1235,79187,12,83.14,6.0,81.35,Class 2,1135.0,112,3.0,1400,TURF,GOOD,0.12080536912751677,0.3948717948717949,12.0,84.0,0.0,0,0
1236,79188,13,81.44,8.0,81.59,Class 2,1195.0,111,12.0,1400,TURF,GOOD,0.1568627450980392,0.2763063707945598,21.0,83.0,7.0,0,0
1237,79189,14,81.65,5.0,81.77,Class 2,1069.0,113,-6.0,1400,TURF,GOOD,0.26686807653575023,0.19189907038512616,21.0,81.0,0.0,0,0
1441,79393,1,68.76,6.0,68.02,Class 2,1047.0,133,7.0,1200,ALL WEATHER TRACK,GOOD,0.506429277942631,0.3948717948717949,17.0,105.0,-2.0,0,0
1442,79394,2,68.68,5.0,69.26,Class 2,1186.0,130,-1.0,1200,ALL WEATHER TRACK,GOOD,0.26686807653575023,0.2714776632302405,42.0,102.0,0.0,0,0
1443,79395,3,69.98,8.0,68.66,Class 2,1135.0,123,4.0,1200,ALL WEATHER TRACK,GOOD,0.4320666319625195,0.21339139902014154,17.0,95.0,2.0,0,0
1444,79396,4,69.03,6.0,68.53,Class 2,1137.0,112,-2.0,1200,ALL WEATHER TRACK,GOOD,0.25,0.22641509433962265,29.0,94.0,0.0,0,0
1445,79397,5,70.49,9.0,69.73,Class 2,1144.0,121,-5.0,1200,ALL WEATHER TRACK,GOOD,0.17289719626168226,0.17221770917952886,11.0,93.0,0.0,0,0
1449,79401,9,68.55,6.0,68.11,Class 2,1063.0,116,-4.0,1200,ALL WEATHER TRACK,GOOD,0.19781553398058246,0.2614023144996596,29.0,90.0,0.0,1,1
1450,79402,10,70.51,6.0,68.89,Class 2,1104.0,113,10.0,1200,ALL WEATHER TRACK,GOOD,0.1288782816229117,0.16493656286043828,119.0,85.0,0.0,0,0
1451,79403,11,68.95,5.0,68.09,Class 2,1086.0,111,26.0,1200,ALL WEATHER TRACK,GOOD,0.1568627450980392,0.2242152466367713,105.0,83.0,3.0,0,0
1465,79417,1,108.04,4.0,108.98,Class 2,1111.0,133,13.0,1800,TURF,GOOD TO FIRM,0.32205128205128203,0.3948717948717949,14.0,96.0,0.0,0,0
1466,79418,2,107.89,4.0,108.48,Class 2,1126.0,130,1.0,1800,TURF,GOOD TO FIRM,0.2329345531315975,0.22361477572559368,17.0,93.0,0.0,0,0
1467,79419,3,108.41,4.0,108.61,Class 2,1073.0,130,-10.0,1800,TURF,GOOD TO FIRM,0.4320666319625195,0.24124513618677046,14.0,93.0,0.0,0,0
1468,79420,4,107.63,7.0,107.98,Class 2,1019.0,129,29.0,1800,TURF,GOOD TO FIRM,0.26686807653575023,0.2357414448669201,105.0,92.0,-5.0,1,1
1470,79422,6,107.7,5.0,108.24,Class 2,1105.0,128,2.0,1800,TURF,GOOD TO FIRM,0.17289719626168226,0.2635294117647059,32.0,91.0,0.0,0,1
1471,79423,7,108.56,5.0,108.32,Class 2,1023.0,124,-9.0,1800,TURF,GOOD TO FIRM,0.19781553398058246,0.2763063707945598,105.0,89.0,-3.0,0,0
1472,79424,8,107.87,4.0,108.73,Class 2,1103.0,120,1.0,1800,TURF,GOOD TO FIRM,0.2503209242618742,0.26277372262773724,20.0,83.0,0.0,0,0
1473,79425,9,107.74,5.0,107.85,Class 2,1245.0,110,-13.0,1800,TURF,GOOD TO FIRM,0.25,0.26454709058188364,14.0,83.0,0.0,0,0
1476,79428,12,107.68,4.0,107.3,Class 2,1142.0,116,-9.0,1800,TURF,GOOD TO FIRM,0.17372621240024555,0.2714776632302405,14.0,81.0,0.0,0,1
1478,79430,14,108.28,6.0,108.13,Class 2,1011.0,116,-13.0,1800,TURF,GOOD TO FIRM,0.048689138576779034,0.22641509433962265,14.0,81.0,0.0,0,0
1578,79530,2,103.38,6.0,99.28,Class 2,1124.0,122,6.0,1650,TURF,GOOD,0.26518391787852863,0.24124513618677046,15.0,94.0,2.0,0,0
