Unnamed: 0,index,hid,finishm,age,besttime,class,horseweight,exweight,horseweightchg,distance,track,going,jname,tname,datediff,rating,ratechg,ind_win,ind_pla
27,77979,1,69.59,8.0,68.46,Class 1,1085.0,123,2.0,1200,TURF,GOOD,0.15746753246753248,0.24124513618677046,133.0,123.0,-1.0,0,0
29,77981,3,69.55,5.0,68.96,Class 1,1179.0,127,-5.0,1200,TURF,GOOD,0.2503209242618742,0.24124513618677046,98.0,117.0,0.0,0,0
30,77982,4,69.07,7.0,68.9,Class 1,1125.0,122,30.0,1200,TURF,GOOD,0.32205128205128203,0.3948717948717949,98.0,112.0,0.0,0,0
31,77983,5,69.22,6.0,69.0,Class 1,1044.0,115,1.0,1200,TURF,GOOD,0.17372621240024555,0.3948717948717949,67.0,107.0,-1.0,0,0
32,77984,6,68.91,5.0,68.55,Class 1,1089.0,116,12.0,1200,TURF,GOOD,0.26686807653575023,0.26277372262773724,84.0,106.0,1.0,0,1
33,77985,7,69.39,5.0,68.68,Class 1,1193.0,115,28.0,1200,TURF,GOOD,0.506429277942631,0.3948717948717949,133.0,105.0,0.0,0,0
34,77986,8,69.08,5.0,68.65,Class 1,1187.0,111,25.0,1200,TURF,GOOD,0.1568627450980392,0.2714776632302405,98.0,102.0,-2.0,0,0
35,77987,9,68.76,6.0,68.66,Class 1,1068.0,113,19.0,1200,TURF,GOOD,0.18149146451033246,0.24124513618677046,67.0,101.0,6.0,1,1
36,77988,10,70.09,5.0,69.88,Class 1,1237.0,113,11.0,1200,TURF,GOOD,0.2329345531315975,0.16493656286043828,60.0,94.0,6.0,0,0
311,78263,1,82.48,6.0,81.11,Class 1,1137.0,131,25.0,1400,TURF,GOOD TO FIRM,0.048689138576779034,0.24124513618677046,63.0,112.0,0.0,0,0
312,78264,2,81.83,4.0,81.62,Class 1,1125.0,129,21.0,1400,TURF,GOOD TO FIRM,0.2503209242618742,0.2714776632302405,63.0,108.0,2.0,1,1
313,78265,3,82.82,6.0,82.76,Class 1,1146.0,127,8.0,1400,TURF,GOOD TO FIRM,0.19781553398058246,0.2139673105497771,88.0,108.0,0.0,0,0
314,78266,4,82.27,4.0,81.6,Class 1,1232.0,127,13.0,1400,TURF,GOOD TO FIRM,0.2551813471502591,0.22641509433962265,140.0,106.0,6.0,0,0
315,78267,5,82.25,6.0,81.01,Class 1,1176.0,125,-2.0,1400,TURF,GOOD TO FIRM,0.506429277942631,0.21339139902014154,63.0,104.0,-3.0,0,0
316,78268,6,81.83,5.0,80.98,Class 1,1184.0,123,10.0,1400,TURF,GOOD TO FIRM,0.17372621240024555,0.24124513618677046,91.0,104.0,-2.0,0,1
317,78269,7,82.39,6.0,81.28,Class 1,1029.0,125,-3.0,1400,TURF,GOOD TO FIRM,0.17289719626168226,0.2635294117647059,91.0,104.0,-1.0,0,0
318,78270,8,82.51,9.0,81.31,Class 1,1068.0,124,-4.0,1400,TURF,GOOD TO FIRM,0.2329345531315975,0.21339139902014154,63.0,103.0,-1.0,0,0
319,78271,9,82.08,6.0,81.68,Class 1,1131.0,124,1.0,1400,TURF,GOOD TO FIRM,0.2316715542521994,0.26277372262773724,63.0,103.0,-1.0,0,1
320,78272,10,83.65,6.0,80.98,Class 1,1126.0,120,23.0,1400,TURF,GOOD TO FIRM,0.26518391787852863,0.22427603203943314,63.0,99.0,-3.0,0,0
321,78273,11,82.19,6.0,81.07,Class 1,1112.0,112,46.0,1400,TURF,GOOD TO FIRM,0.06962785114045618,0.2714776632302405,102.0,96.0,-1.0,0,0
2186,80138,1,83.12,5.0,80.98,Class 1,1180.0,129,2.0,1400,TURF,GOOD,0.4320666319625195,0.24124513618677046,44.0,106.0,0.0,0,0
2187,80139,2,82.24,6.0,81.28,Class 1,1035.0,128,6.0,1400,TURF,GOOD,0.2503209242618742,0.2635294117647059,44.0,105.0,1.0,0,0
2188,80140,3,82.52,5.0,83.3,Class 1,1045.0,128,34.0,1400,TURF,GOOD,0.2359550561797753,0.22641509433962265,125.0,105.0,0.0,0,0
2189,80141,4,82.13,9.0,81.27,Class 1,1074.0,127,-3.0,1400,TURF,GOOD,0.2551813471502591,0.21339139902014154,35.0,104.0,1.0,0,1
2190,80142,5,81.99,4.0,80.88,Class 1,1109.0,124,-6.0,1400,TURF,GOOD,0.506429277942631,0.3948717948717949,125.0,101.0,9.0,0,1
2191,80143,6,82.67,5.0,81.44,Class 1,1084.0,123,19.0,1400,TURF,GOOD,0.26518391787852863,0.21339139902014154,153.0,100.0,0.0,0,0
