index,rdate,rid,hid,venue,track,going,course,class,distance,rfinishm,rm1,rm2,rm3,rm4,rm5,rm6,horsenum,jname,tname,exweight,bardraw,gear,rating,ratechg,horseweight,horseweightchg,besttime,age,priority,lastsix,rank,runpos,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6,finishm,d1,d2,d3,d4,d5,d6,datediff,pricemoney,windist,win_t5,win,place_t5,place,ind_win,ind_pla
110386,2019-10-23,1,1,HV,TURF,GOOD TO FIRM,C+3,Class 5,1650,9968,2796,2379,2459,2334,0,0,B239,A Domeyer,A S Cruz,132,4,B/TT,39,-2,999,+8,,4,+1,10/12/11/5/6/12,2,2-3-3-2,2,3,3,2,0,0,2812,2387,2451,2326,0,0,9976,1,1.5,1,0.5,0,0,22,"HK$ 725,000",1/2,9.6,6.4,3.3,2.1,0,1
110387,2019-10-23,1,2,HV,TURF,GOOD TO FIRM,C+3,Class 5,1650,9968,2796,2379,2459,2334,0,0,A249,Z Purton,C W Chang,131,12,B,38,-2,1019,+18,1.41.17,5,*1,11/7/10/2/3/2,6,12-11-11-6,12,11,11,6,0,0,2928,2359,2427,2303,0,0,10017,8.25,7.0,5,3.0,0,0,133,"HK$ 725,000",3,17.0,14.0,4.3,4.4,0,0
110388,2019-10-23,1,3,HV,TURF,GOOD TO FIRM,C+3,Class 5,1650,9968,2796,2379,2459,2334,0,0,A044,K C Leung,K H Ting,128,3,H/TT,35,0,1010,-9,1.40.74,7,+1,5/12/1/11/7/5,9,5-5-4-9,5,5,4,9,0,0,2840,2383,2431,2380,0,0,10034,2.75,3.0,1.25,4.25,0,0,38,"HK$ 725,000",4-1/4,5.9,6.8,1.9,2.1,0,0
110389,2019-10-23,1,4,HV,TURF,GOOD TO FIRM,C+3,Class 5,1650,9968,2796,2379,2459,2334,0,0,T390,C Schofield,K L Man,128,9,B2,35,-2,1044,+13,1.40.24,8,1,11/9/8/10/13/12,11,4-2-2-11,4,2,2,11,0,0,2828,2359,2459,2470,0,0,10116,2,0.75,0.75,9.25,0,0,42,"HK$ 725,000",9-1/4,23.0,29.0,5.1,6.9,0,0
110390,2019-10-23,1,5,HV,TURF,GOOD TO FIRM,C+3,Class 5,1650,9968,2796,2379,2459,2334,0,0,A273,J Moreira,L Ho,126,8,CP,33,0,1017,-4,1.39.42,5,+1,4/6/7/9/10/7,4,9-10-9-4,9,10,9,4,0,0,2884,2379,2443,2289,0,0,9995,5.5,5.5,4.5,1.75,0,0,42,"HK$ 725,000",1-3/4,2.7,2.8,1.5,1.4,0,0
110391,2019-10-23,1,6,HV,TURF,GOOD TO FIRM,C+3,Class 5,1650,9968,2796,2379,2459,2334,0,0,B395,L Hewitson,D J Hall,125,10,,32,-4,1042,+6,1.42.75,4,1,9/12/5/13/8/8,7,11-12-12-7,11,12,12,7,0,0,2916,2371,2439,2301,0,0,10027,7.5,7.0,5.75,3.75,0,0,129,"HK$ 725,000",3-3/4,32.0,38.0,8.6,11.0,0,0
110392,2019-10-23,1,7,HV,TURF,GOOD TO FIRM,C+3,Class 5,1650,9968,2796,2379,2459,2334,0,0,B367,H T Mo,C Fownes,124,11,CP/TT,31,-1,1124,-28,1.42.62,4,1,6/3/4/11/10/7,10,1-1-1-10,1,1,1,10,0,0,2796,2379,2459,2471,0,0,10105,1,0.75,0.75,8.5,0,0,17,"HK$ 725,000",8-1/2,18.0,23.0,4.4,6.0,0,0
110393,2019-10-23,1,8,HV,TURF,GOOD TO FIRM,C+3,Class 5,1650,9968,2796,2379,2459,2334,0,0,B298,A Sanna,D E Ferraris,124,6,B-/V2,31,-2,1159,+6,1.42.78,4,+1,7/12/10/7/10/10,12,7-6-10-12,7,6,10,12,0,0,2856,2379,2475,2444,0,0,10154,3.75,3.75,4.75,11.75,0,0,17,"HK$ 725,000",11-3/4,42.0,49.0,9.9,12.0,0,0
110394,2019-10-23,1,9,HV,TURF,GOOD TO FIRM,C+3,Class 5,1650,9968,2796,2379,2459,2334,0,0,A012,N Callan,R Gibson,121,2,XB-/B,28,-3,1163,+12,1.40.61,7,+1,9/10/6/9/10/9,5,6-7-6-5,6,7,6,5,0,0,2848,2387,2431,2340,0,0,10006,3.25,3.75,2,2.5,0,0,105,"HK$ 725,000",2-1/2,18.0,19.0,4.7,4.7,0,0
110395,2019-10-23,1,10,HV,TURF,GOOD TO FIRM,C+3,Class 5,1650,9968,2796,2379,2459,2334,0,0,T282,G van Niekerk,P O'Sullivan,120,1,B/H,27,-2,1049,+33,1.39.86,7,+1,6/11/11/11/7/9,3,3-4-5-3,3,4,5,3,0,0,2820,2387,2447,2341,0,0,9995,1.5,2.0,1.25,1.75,0,0,45,"HK$ 725,000",1-3/4,6.6,5.7,2.2,1.9,0,1
110396,2019-10-23,1,11,HV,TURF,GOOD TO FIRM,C+3,Class 5,1650,9968,2796,2379,2459,2334,0,0,A235,K Teetan,W Y So,115,5,H/XB/TT,22,-2,1075,-10,1.40.01,5,+1,11/8/7/11/5/5,1,8-8-7-1,8,8,7,1,0,0,2864,2379,2431,2294,0,0,9968,4.25,4.25,2.5,0.5,0,0,17,"HK$ 725,000",1/2,7.3,8.6,2.2,2.3,1,1
110397,2019-10-23,1,12,HV,TURF,GOOD TO FIRM,C+3,Class 5,1650,9968,2796,2379,2459,2334,0,0,B242,M Chadwick,K W Lui,113,7,B/H/XB2/TT,18,-2,1030,+15,1.41.38,4,+1,9/8/10/11/9/10,8,10-9-8-8,10,9,8,8,0,0,2888,2371,2431,2343,0,0,10033,5.75,5.25,3.5,4.0,0,0,28,"HK$ 725,000",4,33.0,38.0,6.6,8.0,0,0
110398,2019-10-23,2,1,HV,TURF,GOOD TO FIRM,C+3,Class 5,1000,5748,1289,2176,2283,0,0,0,A408,H T Mo,C H Yip,133,8,H2,39,-2,1035,-2,0.57.23,5,+1,11/9/5/5/6/5,10,6-5-10,6,5,10,0,0,0,1321,2208,2312,0,0,0,5841,2,4.0,5.75,0.0,0,0,14,"HK$ 725,000",5-3/4,19.0,27.0,5.8,7.8,0,0
110399,2019-10-23,2,2,HV,TURF,GOOD TO FIRM,C+3,Class 5,1000,5748,1289,2176,2283,0,0,0,A423,Z Purton,P O'Sullivan,132,12,B/TT,38,-1,1059,+15,0.57.46,5,+1,8/9/9/1/1/2,4,1-1-4,1,1,4,0,0,0,1289,2176,2309,0,0,0,5774,N,SH,1.75,0.0,0,0,28,"HK$ 725,000",1-3/4,12.0,9.3,2.5,2.8,0,0
110400,2019-10-23,2,3,HV,TURF,GOOD TO FIRM,C+3,Class 5,1000,5748,1289,2176,2283,0,0,0,B143,G van Niekerk,D J Whyte,132,2,,38,-2,1075,-2,0.58.55,5,+1,12/9/7/8/13/8,2,5-3-2,5,3,2,0,0,0,1317,2176,2267,0,0,0,5760,1.75,1.75,0.75,0.0,0,0,14,"HK$ 725,000",3/4,27.0,22.0,7.5,6.1,0,1
110401,2019-10-23,2,4,HV,TURF,GOOD TO FIRM,C+3,Class 5,1000,5748,1289,2176,2283,0,0,0,A356,A Domeyer,W Y So,132,9,CP-/SR1/TT,38,-4,1169,-3,,6,+1,14/10/3/4/2/2,3,3-4-3,3,4,3,0,0,0,1297,2204,2269,0,0,0,5770,0.5,2.25,1.5,0.0,0,0,101,"HK$ 725,000",1-1/2,6.0,7.8,2.4,2.6,0,1
110402,2019-10-23,2,5,HV,TURF,GOOD TO FIRM,C+3,Class 5,1000,5748,1289,2176,2283,0,0,0,B300,A Sanna,P F Yiu,130,1,TT1,36,-2,1024,+22,0.57.53,4,+1,5/5/11/12/10/14,1,2-2-1,2,2,1,0,0,0,1293,2172,2283,0,0,0,5748,N,SH,0.75,0.0,0,0,28,"HK$ 725,000",3/4,4.5,3.2,1.7,1.5,1,1
