index,rdate,rid,hid,venue,track,going,course,class,distance,rfinishm,rm1,rm2,rm3,rm4,rm5,rm6,horsenum,jname,tname,exweight,bardraw,gear,rating,ratechg,horseweight,horseweightchg,besttime,age,priority,lastsix,rank,runpos,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6,finishm,d1,d2,d3,d4,d5,d6,datediff,pricemoney,windist,win_t5,win,place_t5,place,ind_win,ind_pla
110386,2019-10-09,1,1,HV,TURF,GOOD,B,Class 5,1200,7051,2404,2276,2371,0,0,0,C282,N Callan,R Gibson,133.0,2.0,B,40.0,-5.0,1033.0,20.0,1.12.04,4.0,*1,11/11/12/9/11,7,6-3-7,6.0,3.0,7.0,0,0,0,2428.0,2280.0,2426.0,0,0,0,7134.0,1.5,1.75,5.25,0,0.0,0,87.0,"HK$ 725,000",5-1/4,45.0,64.0,8.9,12.0,0,0
110387,2019-10-09,1,2,HV,TURF,GOOD,B,Class 5,1200,7051,2404,2276,2371,0,0,0,B143,R Bayliss,D J Whyte,133.0,9.0,TT-,40.0,-4.0,1077.0,2.0,,5.0,+1,9/7/8/13/8,12,1-4-12,1.0,4.0,12.0,0,0,0,2404.0,2304.0,2530.0,0,0,0,7238.0,SH,1.75,11.75,0,0.0,0,329.0,"HK$ 725,000",11-3/4,12.0,15.0,3.4,3.9,0,0
110388,2019-10-09,1,3,HV,TURF,GOOD,B,Class 5,1200,7051,2404,2276,2371,0,0,0,A291,J Moreira,D E Ferraris,131.0,1.0,TT,38.0,0.0,1107.0,-1.0,1.10.05,6.0,+1,3/7/8/3/11/3,3,2-2-3,2.0,2.0,3.0,0,0,0,2404.0,2276.0,2385.0,0,0,0,7065.0,SH,SH,0.75,0,0.0,0,14.0,"HK$ 725,000",3/4,2.4,2.2,1.2,1.2,0,1
110389,2019-10-09,1,4,HV,TURF,GOOD,B,Class 5,1200,7051,2404,2276,2371,0,0,0,B445,K Teetan,A S Cruz,129.0,10.0,B-/TT,36.0,-2.0,1037.0,17.0,1.10.28,4.0,+1,14/4/12/6/11/10,11,8-8-11,8.0,8.0,11.0,0,0,0,2444.0,2296.0,2435.0,0,0,0,7175.0,2.5,3.75,7.75,0,0.0,0,38.0,"HK$ 725,000",7-3/4,30.0,42.0,7.1,10.0,0,0
110390,2019-10-09,1,5,HV,TURF,GOOD,B,Class 5,1200,7051,2404,2276,2371,0,0,0,C304,M F Poon,C S Shum,129.0,12.0,B/TT,36.0,-2.0,1059.0,17.0,,4.0,+1,11/6/11/13/12/14,6,5-5-6,5.0,5.0,6.0,0,0,0,2424.0,2296.0,2412.0,0,0,0,7132.0,1.25,2.5,5.0,0,0.0,0,31.0,"HK$ 725,000",5,44.0,54.0,11.0,13.0,0,0
110391,2019-10-09,1,6,HV,TURF,GOOD,B,Class 5,1200,7051,2404,2276,2371,0,0,0,V367,Z Purton,P O'Sullivan,127.0,7.0,B,34.0,0.0,1172.0,32.0,1.10.00,6.0,+1,7/3/6/1/4/3,1,12-10-1,12.0,10.0,1.0,0,0,0,2476.0,2276.0,2299.0,0,0,0,7051.0,4.5,4.5,0.5,0,0.0,0,28.0,"HK$ 725,000",1/2,4.6,4.7,1.6,1.5,1,1
110392,2019-10-09,1,7,HV,TURF,GOOD,B,Class 5,1200,7051,2404,2276,2371,0,0,0,B187,H W Lai,K W Lui,126.0,5.0,H1/B2/TT,33.0,-4.0,987.0,-44.0,1.10.92,5.0,+1,12/6/12/9/7/7,8,10-12-8,10.0,12.0,8.0,0,0,0,2464.0,2308.0,2364.0,0,0,0,7136.0,3.75,5.75,5.25,0,0.0,0,94.0,"HK$ 725,000",5-1/4,35.0,46.0,7.1,9.9,0,0
110393,2019-10-09,1,8,HV,TURF,GOOD,B,Class 5,1200,7051,2404,2276,2371,0,0,0,A197,K C Leung,D J Hall,125.0,3.0,B,32.0,-3.0,1042.0,17.0,1.10.34,6.0,*1,2/9/3/7/12/11,10,7-9-10,7.0,9.0,10.0,0,0,0,2444.0,2308.0,2419.0,0,0,0,7171.0,2.5,4.5,7.5,0,0.0,0,91.0,"HK$ 725,000",7-1/2,12.0,11.0,2.8,2.8,0,0
110394,2019-10-09,1,9,HV,TURF,GOOD,B,Class 5,1200,7051,2404,2276,2371,0,0,0,B004,B Shinn,C H Yip,123.0,8.0,,30.0,-2.0,1044.0,-20.0,1.10.75,6.0,+1,13/8/8/7/8/8,5,11-11-5,11.0,11.0,5.0,0,0,0,2468.0,2292.0,2353.0,0,0,0,7113.0,4,5,4.0,0,0.0,0,24.0,"HK$ 725,000",4,60.0,71.0,13.0,12.0,0,0
110395,2019-10-09,1,10,HV,TURF,GOOD,B,Class 5,1200,7051,2404,2276,2371,0,0,0,B231,H T Mo,Y S Tsui,116.0,6.0,B,23.0,-4.0,1056.0,13.0,1.10.41,5.0,*1,7/10/4/6/6/9,9,4-6-9,4.0,6.0,9.0,0,0,0,2420.0,2308.0,2440.0,0,0,0,7168.0,1,3,7.25,0,0.0,0,87.0,"HK$ 725,000",7-1/4,21.0,14.0,4.7,3.8,0,0
110396,2019-10-09,1,11,HV,TURF,GOOD,B,Class 5,1200,7051,2404,2276,2371,0,0,0,A277,C Y Ho,W Y So,116.0,11.0,SR/TT,23.0,0.0,1189.0,10.0,1.10.20,6.0,+1,4/4/10/5/11/10,4,3-1-4,3.0,1.0,4.0,0,0,0,2412.0,2268.0,2412.0,0,0,0,7092.0,0.5,SH,2.5,0,0.0,0,28.0,"HK$ 725,000",2-1/2,9.4,8.7,2.6,2.2,0,0
110397,2019-10-09,1,12,HV,TURF,GOOD,B,Class 5,1200,7051,2404,2276,2371,0,0,0,V143,M Chadwick,J Size,113.0,4.0,P/TT,19.0,-3.0,1103.0,7.0,1.10.18,7.0,+1,5/10/8/3/6/9,2,9-7-2,9.0,7.0,2.0,0,0,0,2448.0,2280.0,2332.0,0,0,0,7060.0,2.75,3,0.5,0,0.0,0,98.0,"HK$ 725,000",1/2,6.6,8.4,2.3,2.3,0,1
110398,2019-10-09,2,1,HV,TURF,GOOD,B,Class 4,1650,9976,2755,2385,2435,2401,0,0,B108,K Teetan,A S Cruz,133.0,9.0,H/TT,60.0,-2.0,1065.0,36.0,1.40.48,5.0,*1,3/5/5/2/5/10,7,3-3-4-7,3.0,3.0,4.0,7,0,0,2775.0,2401.0,2447.0,2528,0,0,10151.0,1.25,2.25,3.0,11,0.0,0,126.0,"HK$ 967,000",11,7.4,9.1,2.6,2.6,0,0
110399,2019-10-09,2,2,HV,TURF,GOOD,B,Class 4,1650,9976,2755,2385,2435,2401,0,0,A137,H N Wong,Y S Tsui,130.0,10.0,,57.0,2.0,1100.0,30.0,1.39.67,7.0,*2,2/5/9/4/7/12,5,10-5-1-5,10.0,5.0,1.0,5,0,0,2859.0,2329.0,2387.0,2502,0,0,10077.0,6.5,3,1.25,6.25,0.0,0,91.0,"HK$ 967,000",6-1/4,19.0,17.0,4.7,4.4,0,0
110400,2019-10-09,2,3,HV,TURF,GOOD,B,Class 4,1650,9976,2755,2385,2435,2401,0,0,B406,Z Purton,W Y So,130.0,3.0,H-/TT,57.0,-4.0,1030.0,-3.0,1.39.40,4.0,+1,9/8/12/5/4/3,3,8-9-7-3,8.0,9.0,7.0,3,0,0,2839.0,2389.0,2403.0,2372,0,0,10003.0,5.25,5.5,3.5,1.75,0.0,0,87.0,"HK$ 967,000",1-3/4,4.0,4.4,1.9,1.7,0,1
110401,2019-10-09,2,4,HV,TURF,GOOD,B,Class 4,1650,9976,2755,2385,2435,2401,0,0,C085,K C Leung,P O'Sullivan,122.0,5.0,B,49.0,-3.0,1096.0,-6.0,,4.0,1,10/9,10,7-8-10-10,7.0,8.0,10.0,10,0,0,2827.0,2393.0,2439.0,2551,0,0,10210.0,4.5,5,5.25,14.5,0.0,0,91.0,"HK$ 967,000",14-1/2,99.0,99.0,22.0,34.0,0,0
110402,2019-10-09,2,5,HV,TURF,GOOD,B,Class 4,1650,9976,2755,2385,2435,2401,0,0,T353,N Callan,D E Ferraris,122.0,7.0,B1/TT,49.0,-2.0,1184.0,-17.0,1.39.50,8.0,*1,8/8/7/8/3/3,11,9-10-11-11,9.0,10.0,11.0,11,0,0,2847.0,2385.0,2463.0,2653,0,0,10348.0,5.75,5.75,7.5,23.25,0.0,0,28.0,"HK$ 967,000",23-1/4,11.0,12.0,3.0,3.1,0,0
110403,2019-10-09,2,6,HV,TURF,GOOD,B,Class 4,1650,9976,2755,2385,2435,2401,0,0,C119,R Bayliss,D J Whyte,120.0,12.0,XB,47.0,-2.0,1054.0,5.0,,4.0,1,12/12/10/9/11/10,12,1-1-6-12,1.0,1.0,6.0,12,0,0,2755.0,2385.0,2491.0,2973,0,0,10604.0,N,1.75,3.5,39.25,0.0,0,28.0,"HK$ 967,000",39-1/4,99.0,99.0,19.0,25.0,0,0
110404,2019-10-09,2,7,HV,TURF,GOOD,B,Class 4,1650,9976,2755,2385,2435,2401,0,0,A075,M F Poon,C H Yip,120.0,8.0,B,47.0,-1.0,1107.0,12.0,1.40.75,6.0,*2,10/6/6/8/12/6,6,2-2-2-6,2.0,2.0,2.0,6,0,0,2759.0,2409.0,2427.0,2532,0,0,10127.0,N,1.75,1.25,9.5,0.0,0,24.0,"HK$ 967,000",9-1/2,44.0,41.0,10.0,7.9,0,0
110405,2019-10-09,2,8,HV,TURF,GOOD,B,Class 4,1650,9976,2755,2385,2435,2401,0,0,B050,J Moreira,F C Lor,119.0,4.0,TT,46.0,-2.0,1191.0,-11.0,1.40.29,5.0,+1,3/3/2/3/4/8,1,4-4-3-1,4.0,4.0,3.0,1,0,0,2783.0,2405.0,2419.0,2369,0,0,9976.0,1.75,3,2.0,0.75,0.0,0,91.0,"HK$ 967,000",3/4,3.1,2.7,1.4,1.3,1,1
110406,2019-10-09,2,9,HV,TURF,GOOD,B,Class 4,1650,9976,2755,2385,2435,2401,0,0,T002,A Domeyer,C Fownes,119.0,1.0,TT,46.0,2.0,1154.0,24.0,1.40.08,9.0,1,2/6/1/9/8/10,2,6-7-5-2,6.0,7.0,5.0,2,0,0,2811.0,2397.0,2419.0,2360,0,0,9986.0,3.5,4.25,3.25,0.75,0.0,0,28.0,"HK$ 967,000",3/4,5.7,5.9,1.7,1.6,0,1
110407,2019-10-09,2,10,HV,TURF,GOOD,B,Class 4,1650,9976,2755,2385,2435,2401,0,0,C055,L Hewitson,A T Millard,117.0,11.0,B,44.0,-5.0,1190.0,10.0,,4.0,*2,10/13/12,9,11-12-12-9,11.0,12.0,12.0,9,0,0,2867.0,2385.0,2447.0,2495,0,0,10194.0,7,7,7.75,13.75,0.0,0,119.0,"HK$ 967,000",13-3/4,99.0,99.0,29.0,46.0,0,0
110408,2019-10-09,2,11,HV,TURF,GOOD,B,Class 4,1650,9976,2755,2385,2435,2401,0,0,B436,C Y Ho,K W Lui,115.0,6.0,H/XB,42.0,0.0,1040.0,-4.0,,4.0,2,3/6/9/2/6/6,4,12-11-9-4,12.0,11.0,9.0,4,0,0,2867.0,2369.0,2415.0,2366,0,0,10017.0,7,6,4.75,2.5,0.0,0,24.0,"HK$ 967,000",2-1/2,7.6,6.5,1.6,2.1,0,0
110409,2019-10-09,2,12,HV,TURF,GOOD,B,Class 4,1650,9976,2755,2385,2435,2401,0,0,C171,T H So,K L Man,114.0,2.0,B/TT,41.0,-2.0,1113.0,2.0,,4.0,1,9/6/2/10/11/11,8,5-6-8-8,5.0,6.0,8.0,8,0,0,2799.0,2397.0,2439.0,2552,0,0,10187.0,2.75,3.5,3.75,13.25,0.0,0,18.0,"HK$ 967,000",13-1/4,55.0,68.0,11.0,13.0,0,0
110410,2019-10-09,3,1,HV,TURF,GOOD,B,Class 4,1200,6998,2404,2270,2324,0,0,0,A364,A Domeyer,K L Man,133.0,4.0,,60.0,1.0,1222.0,10.0,1.09.74,6.0,1,4/9/1/4/4/3,9,3-2-9,3.0,2.0,9.0,0,0,0,2412.0,2262.0,2404.0,0,0,0,7078.0,0.5,SH,5.0,0,0.0,0,28.0,"HK$ 967,000",5,5.5,6.3,1.7,1.8,0,0
110411,2019-10-09,3,2,HV,TURF,GOOD,B,Class 4,1200,6998,2404,2270,2324,0,0,0,C125,R Bayliss,C H Yip,130.0,12.0,TT,57.0,-1.0,1035.0,20.0,1.10.11,4.0,*2,10/11/12/11/6/4,8,12-11-8,12.0,11.0,8.0,0,0,0,2540.0,2242.0,2294.0,0,0,0,7076.0,8.5,6.75,5.0,0,0.0,0,28.0,"HK$ 967,000",5,99.0,99.0,21.0,28.0,0,0
110412,2019-10-09,3,3,HV,TURF,GOOD,B,Class 4,1200,6998,2404,2270,2324,0,0,0,C025,M L Yeung,K H Ting,130.0,7.0,H,57.0,6.0,1093.0,10.0,,5.0,2,1/9,1,8-7-1,8.0,7.0,1.0,0,0,0,2476.0,2246.0,2276.0,0,0,0,6998.0,4.5,3,HD,0,0.0,0,28.0,"HK$ 967,000",HD,4.0,5.6,1.8,2.0,1,1
110413,2019-10-09,3,4,HV,TURF,GOOD,B,Class 4,1200,6998,2404,2270,2324,0,0,0,C326,Z Purton,J Moore,128.0,8.0,B,55.0,-2.0,1133.0,13.0,,4.0,1,8/4/12/7/9/6,5,1-1-5,1.0,1.0,5.0,0,0,0,2404.0,2270.0,2357.0,0,0,0,7031.0,N,SH,2,0,0.0,0,18.0,"HK$ 967,000",2,8.6,8.4,3.1,2.5,0,0
