index,rdate,rid,hid,venue,track,going,course,class,distance,rfinishm,rm1,rm2,rm3,rm4,rm5,rm6,horsenum,jname,tname,exweight,bardraw,gear,rating,ratechg,horseweight,horseweightchg,besttime,age,priority,lastsix,rank,runpos,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6,finishm,d1,d2,d3,d4,d5,d6,datediff,pricemoney,windist,win_t5,win,place_t5,place,ind_win,ind_pla
110482,2019-10-20,1,3,ST,TURF,GOOD,A,Class 5,1400,8187,1351,2170,2368,2298,0,0,A267,M L Yeung,T P Yung,129,13,CP,40,0,1215,+12,1.22.23,6,1,3/4/7/8/4/2,10,1-2-2-10,1,2,2,10,0,0,1351,2186,2356,2411,0,0,8304,N,1,N,7.25,0,0,35,"HK$ 725,000",7-1/4,13.0,15.0,3.9,4.0,0,0
110483,2019-10-20,1,4,ST,TURF,GOOD,A,Class 5,1400,8187,1351,2170,2368,2298,0,0,C173,B Shinn,R Gibson,129,5,,40,0,1128,+14,1.22.19,4,+1,7/2/10/4/10/10,6,10-10-10-6,10,10,10,6,0,0,1399,2210,2332,2301,0,0,8242,3,5.5,3.25,3.5,0,0,35,"HK$ 725,000",3-1/2,10.0,11.0,2.9,3.1,0,0
110484,2019-10-20,1,5,ST,TURF,GOOD,A,Class 5,1400,8187,1351,2170,2368,2298,0,0,B074,C Schofield,K L Man,128,3,B,39,-4,1152,+14,1.22.55,5,*1,5/13/13/8/8,3,12-8-9-3,12,8,9,3,0,0,1407,2194,2336,2270,0,0,8207,3.5,5,3,1.25,0,0,109,"HK$ 725,000",1-1/4,25.0,24.0,6.5,7.2,0,1
110485,2019-10-20,1,6,ST,TURF,GOOD,A,Class 5,1400,8187,1351,2170,2368,2298,0,0,B155,M Chadwick,D J Whyte,128,12,,39,-1,1074,+3,1.24.09,5,1,3/8/11/10/11/7,8,6-5-4-8,6,5,4,8,0,0,1375,2194,2344,2344,0,0,8257,1.5,3,1.5,4.25,0,0,19,"HK$ 725,000",4-1/4,11.0,10.0,3.7,4.3,0,0
110486,2019-10-20,1,7,ST,TURF,GOOD,A,Class 5,1400,8187,1351,2170,2368,2298,0,0,C012,M F Poon,W Y So,128,6,CP1/TT,39,-2,1114,-5,1.22.95,5,1,12/12/8/12/9/6,14,9-11-13-14,9,11,13,14,0,0,1395,2230,2368,2442,0,0,8435,2.75,6.5,6.5,15.5,0,0,19,"HK$ 725,000",15-1/2,94.0,99.0,21.0,33.0,0,0
110487,2019-10-20,1,8,ST,TURF,GOOD,A,Class 5,1400,8187,1351,2170,2368,2298,0,0,A357,K Teetan,A S Cruz,128,14,B/TT,39,0,1270,-9,1.22.13,6,+1,9/11/8/12/7/11,13,11-14-14-13,11,14,14,13,0,0,1403,2246,2352,2374,0,0,8375,3.25,8,7,11.75,0,0,42,"HK$ 725,000",11-3/4,14.0,13.0,5.4,4.4,0,0
110488,2019-10-20,1,9,ST,TURF,GOOD,A,Class 5,1400,8187,1351,2170,2368,2298,0,0,B071,U Rispoli,D E Ferraris,127,11,,38,-2,1086,-12,1.22.10,6,+1,6/3/13/6/6/11,1,14-13-11-1,14,13,11,1,0,0,1423,2218,2304,2242,0,0,8187,4.5,7.5,3.5,N,0,0,8,"HK$ 725,000",N,9.4,7.8,3.7,2.7,1,1
110489,2019-10-20,1,10,ST,TURF,GOOD,A,Class 5,1400,8187,1351,2170,2368,2298,0,0,A407,G van Niekerk,C W Chang,126,10,B/TT,37,-1,1176,+18,1.22.30,5,+1,5/10/2/12/5/12,9,13-12-12-9,13,12,12,9,0,0,1419,2210,2344,2307,0,0,8280,4.25,6.75,5.25,5.75,0,0,35,"HK$ 725,000",5-3/4,17.0,18.0,4.6,4.9,0,0
110490,2019-10-20,1,11,ST,TURF,GOOD,A,Class 5,1400,8187,1351,2170,2368,2298,0,0,B028,N Callan,D J Hall,125,9,B,36,+1,1155,+23,1.22.53,5,+1,2/5/3/2/2/11,5,5-9-7-5,5,9,7,5,0,0,1371,2230,2324,2314,0,0,8239,1.25,5,2.25,3.25,0,0,35,"HK$ 725,000",3-1/4,7.3,8.4,2.1,2.2,0,0
110491,2019-10-20,1,12,ST,TURF,GOOD,A,Class 5,1400,8187,1351,2170,2368,2298,0,0,A399,A Domeyer,C Fownes,123,8,XB2,34,-2,1174,+4,1.22.68,6,+1,12/11/9/13/3/8,7,2-1-1-7,2,1,1,7,0,0,1355,2166,2368,2357,0,0,8246,N,1,N,3.75,0,0,35,"HK$ 725,000",3-3/4,19.0,20.0,6.0,5.7,0,0
