class,1000,1200,1400,1600,1650,1800,2000,2200
G3,55.9333,68.0667,81.18,93.1,,107.6,,
Class 1,56.6219,69.2372,81.9059,95.3349,99.5602,108.5745,123.96,137.52
Class 2,56.7332,69.4022,82.2649,95.3807,99.9239,109.2362,122.5329,136.8967
Class 3,57.0584,69.8639,82.6857,95.7183,100.5362,109.3278,123.5248,137.2814
Class 4,57.4164,70.2766,83.1536,96.0619,100.9338,109.874,124.1765,138.2584
Class 5,57.8276,70.5475,83.4216,96.5098,101.2882,110.541,124.92,139.0836
